match_id,blue_win,blue_top_champion_name,blue_jungle_champion_name,blue_mid_champion_name,blue_adc_champion_name,blue_support_champion_name,red_top_champion_name,red_jungle_champion_name,red_mid_champion_name,red_adc_champion_name,red_support_champion_name,blue_avg_rank,red_avg_rank,blue_avg_recent_wr,red_avg_recent_wr,blue_avg_mastery,red_avg_mastery
EUN1_3925664498,1,Mordekaiser,Kayn,Diana,Jinx,Seraphine,Kayle,Belveth,Vex,TwistedFate,Soraka,0.0,0.0,0.3,0.46,344975.0,34627.6
EUN1_3916454494,1,Chogath,Jax,Mel,MissFortune,Lux,Teemo,Nunu,Aurora,Kaisa,Pantheon,0.0,0.0,0.42,0.28,97975.6,328366.2
EUN1_3929115323,0,Garen,Amumu,Akali,MissFortune,Lux,Jax,Malphite,Naafiri,Caitlyn,Morgana,0.0,0.0,0.62,0.48,106785.2,25081.6
EUN1_3931177412,0,Mordekaiser,Briar,Yone,Ziggs,Leona,Darius,MonkeyKing,Mel,Lucian,Senna,0.0,0.0,0.58,0.58,333107.6,40550.4
EUN1_3931949825,0,DrMundo,Kayn,Ahri,Ashe,Lux,Yasuo,Viego,Hwei,Vayne,Braum,0.0,0.0,0.68,0.5,350466.4,169022.6
EUN1_3922848673,0,Kayle,Graves,Qiyana,Akali,TahmKench,Yorick,Nocturne,Yasuo,Kaisa,Thresh,0.0,0.0,0.6,0.48,29037.0,275510.4
EUN1_3930690689,1,KSante,Jax,Vex,Caitlyn,Yuumi,Chogath,Evelynn,Vladimir,Ezreal,Taric,0.0,0.0,0.58,0.38,91841.0,16513.8
EUN1_3929608234,1,Yasuo,Sylas,Xerath,Jhin,Braum,Nautilus,Belveth,Akali,Ashe,Brand,0.0,0.0,0.56,0.64,84972.2,33781.2
EUN1_3927309903,0,Teemo,FiddleSticks,Jinx,Yunara,Nautilus,Gwen,Shyvana,Talon,Twitch,Rakan,0.0,0.0,0.64,0.4,412924.6,168038.4
EUN1_3931469983,0,Chogath,Zed,Mel,Jhin,Nami,Darius,Garen,Sylas,Samira,Zyra,0.0,0.0,0.36,0.36,65697.8,127067.4
EUN1_3931102053,0,Jax,Khazix,Mel,MissFortune,Nami,Renekton,Viego,Irelia,Varus,Swain,0.0,0.0,0.38,0.52,67192.0,62285.0
EUN1_3927761318,1,Shyvana,Warwick,Mel,Kalista,Leona,Yone,Viego,Yasuo,Tristana,Morgana,0.0,0.0,0.44,0.34,202310.6,67768.8
EUN1_3916372433,0,Yasuo,Kayn,Teemo,Jhin,Mel,Chogath,Fizz,Irelia,Vayne,Neeko,0.0,0.0,0.42,0.3,225579.8,33499.2
EUN1_3931792530,1,Sett,Briar,Katarina,Kaisa,Mel,Mordekaiser,MasterYi,Ahri,Samira,Seraphine,0.0,0.0,0.34,0.44,105178.0,50418.8
EUN1_3932181502,1,Yorick,Kindred,Zoe,Ezreal,Lux,MasterYi,Volibear,Akshan,Kaisa,Nami,0.0,0.0,0.56,0.44,20593.6,838781.0
EUN1_3932019152,0,Darius,Khazix,Fizz,Kaisa,Velkoz,Malphite,Graves,Malzahar,Jhin,Seraphine,0.0,0.0,0.62,0.56,295930.6,194665.4
EUN1_3917987760,1,Yorick,Lillia,Irelia,Aphelios,Morgana,Kled,Viego,Lucian,Caitlyn,Taliyah,0.0,0.0,0.42,0.38,62748.2,122534.8
EUN1_3925153835,1,Yorick,Graves,Veigar,Jinx,Taric,TahmKench,Jax,Ekko,Varus,Sona,0.0,0.0,0.46,0.42,53679.6,56589.6
EUN1_3924175173,1,Quinn,Naafiri,Diana,Vayne,Seraphine,Darius,FiddleSticks,Ahri,Caitlyn,Lux,0.0,0.0,0.32,0.56,209659.6,401227.6
EUN1_3932036786,0,Heimerdinger,Kindred,Mel,Xayah,TahmKench,Ornn,Ekko,Zed,Ashe,Velkoz,0.0,0.0,0.58,0.44,136807.4,62120.0
EUN1_3929844525,0,Fiora,Teemo,Akshan,Twitch,Rell,Nasus,Kayn,Lux,Caitlyn,Pyke,0.0,0.0,0.46,0.5,52328.2,138885.2
EUN1_3932090874,1,Renekton,Volibear,Sylas,Ashe,Blitzcrank,Urgot,Shen,Naafiri,MissFortune,Brand,0.0,0.0,0.32,0.66,16700.0,199767.0
EUN1_3932256913,0,Volibear,Tryndamere,Malzahar,Kaisa,Morgana,Kayle,Viego,Yasuo,Draven,Mel,0.0,0.0,0.32,0.5,245034.6,46828.4
