match_id,blue_win,blue_top_champion_name,blue_jungle_champion_name,blue_mid_champion_name,blue_adc_champion_name,blue_support_champion_name,red_top_champion_name,red_jungle_champion_name,red_mid_champion_name,red_adc_champion_name,red_support_champion_name,blue_avg_rank,red_avg_rank,blue_avg_recent_wr,red_avg_recent_wr,blue_avg_mastery,red_avg_mastery,top_matchup_wr,jungle_matchup_wr,mid_matchup_wr,adc_matchup_wr,support_matchup_wr,avg_matchup_wr,rank_diff,recent_wr_diff,mastery_diff
EUN1_3855743813,0,Ornn,Warwick,Lux,Xayah,Milio,DrMundo,XinZhao,Sylas,Kaisa,Pyke,0.0,0.0,0.64,0.48,176380.6,101355.6,0.0,0.25,0.6666666666666666,0.0,0.0,0.18333333333333332,0.0,0.16000000000000003,75025.0
EUN1_3931369144,1,Malphite,Nocturne,Veigar,Ashe,Nautilus,Yorick,Volibear,Akali,MissFortune,Leona,0.0,0.0,0.6,0.44,88107.2,130645.4,0.6666666666666666,0.5,1.0,0.3888888888888889,0.5,0.611111111111111,0.0,0.15999999999999998,-42538.2
EUN1_3919385803,1,Jax,Graves,Karma,Jinx,Xerath,Sett,Viego,Anivia,Caitlyn,Zyra,0.0,0.0,0.52,0.48,101032.0,30193.0,1.0,0.25,1.0,0.5882352941176471,0.4,0.6476470588235295,0.0,0.040000000000000036,70839.0
EUN1_3920439042,0,TahmKench,Evelynn,Zed,Jhin,Nami,Warwick,Rengar,Irelia,Ashe,Lux,0.0,0.0,0.42,0.52,571791.6,170573.6,0.0,0.0,0.5,0.6,0.25,0.27,0.0,-0.10000000000000003,401218.0
EUN1_3925276149,0,Nasus,Nocturne,Akali,Aphelios,Senna,Chogath,Vi,Xerath,Lucian,Alistar,0.0,0.0,0.44,0.42,84443.2,129424.4,0.0,0.5,0.5,0.0,0.0,0.2,0.0,0.020000000000000018,-44981.2
EUN1_3923479863,0,Ornn,MasterYi,Sylas,Caitlyn,Leona,Kayle,Khazix,Ahri,Corki,Nami,0.0,0.0,0.56,0.54,121751.6,108383.4,0.0,0.5,0.2,0.5,0.0,0.24,0.0,0.020000000000000018,13368.200000000012
EUN1_3931239343,1,Nasus,Shaco,Yasuo,Xayah,Seraphine,Garen,Pantheon,Galio,Syndra,Renata,0.0,0.0,0.6,0.44,53186.0,258089.2,1.0,1.0,0.4,1.0,1.0,0.8800000000000001,0.0,0.15999999999999998,-204903.2
EUN1_3924790782,1,Ornn,Karthus,Yasuo,MissFortune,Lux,Chogath,Jax,Zed,Caitlyn,Shaco,0.0,0.0,0.44,0.38,95034.4,292256.0,0.5,1.0,0.5555555555555556,0.6216216216216216,1.0,0.7354354354354353,0.0,0.06,-197221.6
EUN1_3930952913,0,Teemo,MasterYi,Zoe,Caitlyn,Senna,Aatrox,JarvanIV,Veigar,Jhin,Morgana,0.0,0.0,0.38,0.34,193228.8,49104.8,0.25,0.0,0.3333333333333333,0.375,0.0,0.19166666666666665,0.0,0.03999999999999998,144124.0
EUN1_3931995258,1,Volibear,Mordekaiser,Yone,MissFortune,Seraphine,Riven,MonkeyKing,Diana,Tristana,Morgana,0.0,0.0,0.52,0.5,45593.2,87931.6,1.0,1.0,0.6666666666666666,0.36363636363636365,0.46153846153846156,0.6983682983682984,0.0,0.020000000000000018,-42338.40000000001
