blue_champ_1,blue_champ_2,blue_champ_3,blue_champ_4,blue_champ_5,red_champ_1,red_champ_2,red_champ_3,red_champ_4,red_champ_5,blue_avg_rank,red_avg_rank,blue_avg_mastery,red_avg_mastery,blue_avg_recent_wr,red_avg_recent_wr,blue_win
Kayle,Graves,Qiyana,Akali,TahmKench,Yorick,Nocturne,Yasuo,Kaisa,Thresh,0.0,0.0,29037.0,275510.4,0.6,0.48,0
KSante,Jax,Vex,Caitlyn,Yuumi,Chogath,Evelynn,Vladimir,Ezreal,Taric,0.0,0.0,91841.0,16513.8,0.58,0.38,1
Yasuo,Sylas,Xerath,Jhin,Braum,Nautilus,Belveth,Akali,Ashe,Brand,0.0,0.0,84972.2,33781.2,0.56,0.64,1
Teemo,FiddleSticks,Jinx,Yunara,Nautilus,Gwen,Shyvana,Talon,Twitch,Rakan,0.0,0.0,412924.6,168038.4,0.64,0.4,0
Chogath,Zed,Mel,Jhin,Nami,Darius,Garen,Sylas,Samira,Zyra,0.0,0.0,65697.8,127067.4,0.36,0.36,0
Jax,Khazix,Mel,MissFortune,Nami,Renekton,Viego,Irelia,Varus,Swain,0.0,0.0,67192.0,62285.0,0.38,0.52,0
Shyvana,Warwick,Mel,Kalista,Leona,Yone,Viego,Yasuo,Tristana,Morgana,0.0,0.0,202310.6,67768.8,0.44,0.34,1
Yasuo,Kayn,Teemo,Jhin,Mel,Chogath,Fizz,Irelia,Vayne,Neeko,0.0,0.0,225579.8,33499.2,0.42,0.3,0
Sett,Briar,Katarina,Kaisa,Mel,Mordekaiser,MasterYi,Ahri,Samira,Seraphine,0.0,0.0,105178.0,50418.8,0.34,0.44,1
Yorick,Kindred,Zoe,Ezreal,Lux,MasterYi,Volibear,Akshan,Kaisa,Nami,0.0,0.0,20593.6,838781.0,0.56,0.44,1
Darius,Khazix,Fizz,Kaisa,Velkoz,Malphite,Graves,Malzahar,Jhin,Seraphine,0.0,0.0,295930.6,194665.4,0.62,0.56,0
Yorick,Lillia,Irelia,Aphelios,Morgana,Kled,Viego,Lucian,Caitlyn,Taliyah,0.0,0.0,62748.2,122534.8,0.42,0.38,1
Yorick,Graves,Veigar,Jinx,Taric,TahmKench,Jax,Ekko,Varus,Sona,0.0,0.0,53679.6,56589.6,0.46,0.42,1
Quinn,Naafiri,Diana,Vayne,Seraphine,Darius,FiddleSticks,Ahri,Caitlyn,Lux,0.0,0.0,209659.6,401227.6,0.32,0.56,1
Heimerdinger,Kindred,Mel,Xayah,TahmKench,Ornn,Ekko,Zed,Ashe,Velkoz,0.0,0.0,136807.4,62120.0,0.58,0.44,0
Fiora,Teemo,Akshan,Twitch,Rell,Nasus,Kayn,Lux,Caitlyn,Pyke,0.0,0.0,52328.2,138885.2,0.46,0.5,0
Renekton,Volibear,Sylas,Ashe,Blitzcrank,Urgot,Shen,Naafiri,MissFortune,Brand,0.0,0.0,16700.0,199767.0,0.32,0.66,1
Volibear,Tryndamere,Malzahar,Kaisa,Morgana,Kayle,Viego,Yasuo,Draven,Mel,0.0,0.0,245034.6,46828.4,0.32,0.5,0
Urgot,Viego,Vladimir,MissFortune,Seraphine,Pantheon,Hecarim,Ryze,Ezreal,Leona,0.0,0.0,125761.2,340205.2,0.38,0.5,0
Illaoi,Shyvana,Yasuo,Jhin,Leona,Yone,Nocturne,Lissandra,Twitch,Senna,0.0,0.0,28147.0,53153.2,0.52,0.54,1
Tryndamere,Hecarim,Velkoz,Jinx,TahmKench,Teemo,FiddleSticks,Irelia,MissFortune,Brand,0.0,0.0,471672.4,30188.0,0.46,0.4267,0
Illaoi,Jax,Veigar,Jinx,Yuumi,Teemo,Viego,Malzahar,Caitlyn,Mel,0.0,0.0,274480.2,151667.0,0.44,0.5,0
Yone,Malphite,Orianna,Caitlyn,Mel,Teemo,Ekko,Veigar,Jhin,Lux,0.0,0.0,217264.0,129381.8,0.6,0.4,1
Fiora,Talon,Yone,MissFortune,TahmKench,Volibear,Rengar,Naafiri,Ashe,Seraphine,0.0,0.0,58463.8,277665.4,0.52,0.46,1
Rumble,Kayn,Irelia,MissFortune,TahmKench,Kayle,Nasus,Thresh,Twitch,Soraka,0.0,0.0,96195.8,181572.6,0.5,0.52,1
Heimerdinger,Malphite,Neeko,Jinx,TahmKench,Akali,Amumu,Kassadin,Ezreal,Pyke,0.0,0.0,107584.8,355828.2,0.52,0.42,0
Morgana,Kayn,Veigar,MissFortune,Nautilus,DrMundo,Nocturne,Anivia,Ashe,Mel,0.0,0.0,101855.4,461352.8,0.4,0.36,1
Teemo,MasterYi,Yasuo,Lucian,Lux,Malphite,Amumu,Mel,Jhin,Rakan,0.0,0.0,278099.2,96797.0,0.5,0.5333,1
Malphite,Khazix,Xerath,Caitlyn,Lux,Trundle,Ekko,Akali,Tristana,Mel,0.0,0.0,72423.6,44535.2,0.5,0.52,1
Sion,Kayn,Vex,Jinx,Leona,Urgot,Zed,Yasuo,Renata,Yone,0.0,0.0,55774.2,344338.2,0.48,0.48,1
Teemo,Warwick,Yasuo,MissFortune,Leona,Quinn,Shyvana,Akali,Lucian,Braum,0.0,0.0,85296.2,47279.2,0.52,0.58,0
Teemo,Morgana,Mel,Kalista,Braum,Singed,Ekko,Malphite,Smolder,Nami,0.0,0.0,171292.6,157832.6,0.48,0.52,1
Kayle,Warwick,Lux,Jinx,Braum,Trundle,JarvanIV,Draven,Corki,Seraphine,0.0,0.0,229137.2,77207.6,0.52,0.54,0
Teemo,Nocturne,Malzahar,Samira,Lux,Ambessa,Vi,Veigar,Caitlyn,Pyke,0.0,0.0,38665.6,91948.6,0.58,0.54,1
Jax,Talon,AurelionSol,Caitlyn,Morgana,Yasuo,Warwick,Irelia,MissFortune,Seraphine,0.0,0.0,113399.4,196977.0,0.42,0.44,0
Vladimir,Viego,Fizz,Lucian,DrMundo,Darius,Ezreal,Yone,Samira,Mel,0.0,0.0,132674.0,38019.2,0.38,0.525,0
Mordekaiser,Viego,Xerath,Smolder,Seraphine,Gnar,Shaco,Zed,MissFortune,Malphite,0.0,0.0,108376.8,115363.6,0.56,0.54,1
Yorick,Warwick,Aurora,Caitlyn,Nami,Mordekaiser,Jax,Fizz,Kaisa,Thresh,0.0,0.0,131958.4,62195.8,0.48,0.44,0
TahmKench,Briar,Fizz,Vayne,Morgana,Mordekaiser,Shyvana,Pantheon,Ezreal,Mel,0.0,0.0,205505.6,76624.2,0.54,0.52,0
Ornn,Evelynn,Ziggs,Samira,Xerath,Quinn,Naafiri,Yone,Veigar,Seraphine,0.0,0.0,135641.0,185534.2,0.44,0.34,0
Yone,Amumu,Leblanc,Caitlyn,Seraphine,Ornn,Tryndamere,Ziggs,Smolder,Thresh,0.0,0.0,67920.2,52279.8,0.5,0.58,0
Kayle,Kayn,Akshan,MissFortune,Blitzcrank,Aatrox,Nocturne,Yone,Jhin,Seraphine,0.0,0.0,42399.4,71036.4,0.58,0.48,1
Illaoi,XinZhao,Malzahar,Varus,Nautilus,Yasuo,Amumu,Veigar,Twitch,Thresh,0.0,0.0,272032.4,119969.2,0.44,0.48,1
Malphite,Trundle,Malzahar,Ashe,Zoe,Sion,Briar,Ahri,Yunara,Veigar,0.0,0.0,812218.8,90358.2,0.44,0.48,0
Naafiri,Viego,Irelia,Tristana,Mel,Trundle,LeeSin,Veigar,Kaisa,Lux,0.0,0.0,181731.8,249749.4,0.46,0.42,1
Illaoi,MasterYi,Annie,MissFortune,Milio,Yone,Shaco,Akali,Senna,Maokai,0.0,0.0,228424.4,158680.0,0.4,0.52,0
Vayne,Kayn,Ryze,Lucian,Anivia,Yasuo,Shyvana,Chogath,Jhin,Yuumi,0.0,0.0,69772.2,301459.4,0.5,0.48,1
Irelia,Amumu,Ahri,Caitlyn,Zyra,Singed,Shaco,Lissandra,Tristana,Shen,0.0,0.0,288470.8,171572.8,0.54,0.3,1
Gangplank,Brand,Akali,Mel,Lux,Teemo,Ekko,Fizz,Jinx,Braum,0.0,0.0,232491.2,196732.4,0.4,0.42,0
Malphite,Shyvana,Akali,MissFortune,Leona,Chogath,Kayn,Lux,Ezreal,Seraphine,0.0,0.0,26856.6,136527.8,0.52,0.5,0
Irelia,Viego,AurelionSol,MissFortune,Lux,KSante,XinZhao,Akshan,Tristana,Swain,0.0,0.0,57729.2,463704.6,0.56,0.54,0
Illaoi,Kayn,Naafiri,Jinx,Blitzcrank,Garen,Lillia,Diana,MissFortune,TahmKench,0.0,0.0,81735.4,25196.4,0.5,0.6,0
Camille,Kindred,Yone,MissFortune,Senna,Yorick,Warwick,Draven,Smolder,Brand,0.0,0.0,107065.0,67217.4,0.44,0.54,0
Olaf,Viego,Akali,Caitlyn,Lux,Garen,Amumu,Fizz,Jhin,Zilean,0.0,0.0,164572.2,657637.0,0.44,0.56,0
Jax,Volibear,Ahri,Aphelios,Mel,Yone,Nocturne,Zed,MissFortune,Senna,0.0,0.0,82552.4,27333.2,0.36,0.3771,1
Mordekaiser,JarvanIV,Kalista,Caitlyn,Lux,Warwick,Rengar,Vex,Ashe,Nautilus,0.0,0.0,201714.2,58194.6,0.4,0.46,1
DrMundo,Kayn,Fizz,Zeri,Rammus,Darius,Lillia,Vladimir,Caitlyn,Yuumi,0.0,0.0,343633.0,42171.4,0.54,0.38,0
Renekton,Briar,Sylas,Nilah,Brand,Gwen,Zaahen,Annie,Mel,Seraphine,0.0,0.0,106411.6,76897.0,0.5,0.34,0
Vayne,Amumu,Ahri,MissFortune,Mel,Gwen,Khazix,Zyra,Varus,Morgana,0.0,0.0,245312.4,558474.0,0.42,0.42,1
Garen,Warwick,Annie,Samira,Morgana,Jax,Amumu,Diana,MissFortune,Zyra,0.0,0.0,146436.4,152541.6,0.54,0.4,0
Shen,Viego,Malzahar,Ezreal,Ashe,Sion,JarvanIV,Aurora,Swain,Zyra,0.0,0.0,38580.8,176611.4,0.42,0.42,0
MasterYi,Sylas,Kassadin,Senna,Zyra,Sett,Diana,Veigar,Tristana,TahmKench,0.0,0.0,248542.8,78035.2,0.38,0.52,1
Irelia,Amumu,Yone,Vayne,Neeko,Singed,LeeSin,Ahri,Jinx,AurelionSol,0.0,0.0,120405.2,205547.6,0.5,0.56,1
Jax,Nocturne,Ahri,Twitch,Alistar,TahmKench,MasterYi,Yone,Smolder,Lux,0.0,0.0,73027.8,115882.8,0.5,0.36,1
Yorick,Viego,Veigar,Jinx,Lulu,Yone,Mordekaiser,Galio,Caitlyn,Brand,0.0,0.0,121632.2,91342.2,0.42,0.52,0
Chogath,Shen,Lissandra,Samira,Morgana,Yone,Briar,Mel,MissFortune,Shaco,0.0,0.0,32876.6,87631.2,0.52,0.46,0
Sett,Nocturne,Annie,Smolder,Pantheon,Garen,Amumu,Yasuo,MissFortune,Morgana,0.0,0.0,34438.4,28710.0,0.48,0.4267,0
Teemo,Viego,AurelionSol,Lucian,Yuumi,Irelia,Jax,Tryndamere,Mel,Lux,0.0,0.0,88550.4,46044.6,0.52,0.52,1
Mordekaiser,Vi,Yasuo,Yunara,Nami,Yone,JarvanIV,Katarina,Kaisa,Karma,0.0,0.0,58964.8,398984.0,0.44,0.42,1
Sett,Malphite,Sylas,Smolder,Nami,Teemo,XinZhao,Katarina,Kaisa,Lux,0.0,0.0,31600.4,248522.6,0.6,0.5,0
Urgot,Malphite,Yasuo,Smolder,Nautilus,Nasus,Khazix,Veigar,Tristana,Swain,0.0,0.0,128222.2,12417.2,0.48,0.48,0
Akshan,Yorick,Mel,Samira,Nautilus,DrMundo,Rengar,Yone,Vayne,Soraka,0.0,0.0,105695.6,180643.2,0.6,0.46,0
Brand,Volibear,Akali,Graves,Mel,Mordekaiser,Ekko,Malphite,MissFortune,TahmKench,0.0,0.0,56890.2,153907.2,0.46,0.5,1
TahmKench,MasterYi,Diana,MissFortune,Swain,Mordekaiser,Amumu,Veigar,Varus,Nautilus,0.0,0.0,504397.2,262095.6,0.52,0.42,0
Mordekaiser,Jax,Seraphine,Sivir,Pyke,Volibear,Briar,Lissandra,Jinx,Lux,0.0,0.0,54315.0,7442.8,0.5,0.52,0
Quinn,MasterYi,Lux,Aphelios,Xerath,Ashe,Diana,Zed,Jhin,Morgana,0.0,0.0,139114.4,559400.0,0.38,0.46,0
Aatrox,Rengar,Orianna,Caitlyn,Yuumi,Illaoi,Amumu,Zed,MissFortune,Brand,0.0,0.0,85525.2,124870.6,0.4333,0.48,0
Sion,Kayn,Katarina,Kaisa,Seraphine,Malphite,Sylas,Qiyana,KogMaw,Ahri,0.0,0.0,71934.0,229781.0,0.34,0.52,1
