blue_champ_1,blue_champ_2,blue_champ_3,blue_champ_4,blue_champ_5,red_champ_1,red_champ_2,red_champ_3,red_champ_4,red_champ_5,blue_avg_rank,red_avg_rank,blue_avg_mastery,red_avg_mastery,blue_avg_recent_wr,red_avg_recent_wr,blue_win
Singed,Kayn,Qiyana,Caitlyn,Blitzcrank,Trundle,Ekko,Yasuo,Tristana,Sylas,0.0,0.0,62182.2,54629.2,0.48,0.48,0
Darius,Briar,Mel,Jinx,Rakan,Malphite,Viego,Lissandra,Ashe,Soraka,0.0,0.0,57858.6,209699.8,0.42,0.44,1
Malphite,Graves,Katarina,Jhin,Senna,Teemo,Khazix,Akali,Twitch,Thresh,0.0,0.0,89391.8,129740.6,0.58,0.54,0
Trundle,Warwick,Mel,Ezreal,Blitzcrank,Malphite,Volibear,Diana,MissFortune,Seraphine,0.0,0.0,15473.4,78094.6,0.38,0.44,0
Malzahar,LeeSin,Diana,Hwei,TahmKench,Teemo,Naafiri,Xerath,Caitlyn,Brand,0.0,0.0,136968.8,137539.6,0.46,0.42,0
Vayne,Naafiri,Yone,Malzahar,Morgana,Illaoi,Shyvana,Brand,MissFortune,Rell,0.0,0.0,108378.6,257866.2,0.56,0.52,0
Mordekaiser,Hecarim,Yone,Samira,Nautilus,Gragas,Nasus,Veigar,MissFortune,Lux,0.0,0.0,133295.6,104038.0,0.32,0.44,0
Vayne,Evelynn,Vladimir,Twitch,Lux,Garen,Kayn,Akali,Mel,Blitzcrank,0.0,0.0,26747.0,229558.0,0.6,0.38,0
Teemo,Nocturne,Ahri,MissFortune,Sona,Kennen,Warwick,Yasuo,Draven,Mel,0.0,0.0,146027.6,120419.2,0.4,0.56,0
Teemo,Warwick,Yasuo,Jhin,Lux,Heimerdinger,LeeSin,Corki,Vayne,Zilean,0.0,0.0,461138.4,915869.8,0.44,0.52,1
Mordekaiser,Trundle,Vex,MissFortune,Seraphine,Varus,Shaco,Mel,Draven,Lux,0.0,0.0,134589.2,147906.8,0.46,0.46,0
Volibear,Amumu,Syndra,Tristana,Lux,Mordekaiser,Diana,Katarina,Twitch,Morgana,0.0,0.0,73666.6,47778.4,0.46,0.34,1
Mordekaiser,LeeSin,Veigar,Sivir,Zyra,Sett,MasterYi,Cassiopeia,Samira,Blitzcrank,0.0,0.0,609515.8,183631.6,0.44,0.46,1
Chogath,Jax,Ahri,Kaisa,Morgana,Yorick,Viego,Teemo,Mel,Milio,0.0,0.0,34344.4,156040.0,0.48,0.48,0
DrMundo,Malphite,Lux,Tristana,Zyra,Volibear,Shaco,Qiyana,MissFortune,Morgana,0.0,0.0,77867.2,155876.0,0.52,0.28,1
Renekton,Viego,Ekko,Tristana,Mel,Garen,Nasus,Lissandra,MissFortune,Pantheon,0.0,0.0,73052.0,48168.2,0.44,0.42,0
Olaf,Volibear,Vladimir,Samira,Lux,TahmKench,Nocturne,Akshan,Twitch,Brand,0.0,0.0,99052.6,166524.0,0.48,0.52,0
Gangplank,Khazix,Vex,Jinx,Zyra,Irelia,JarvanIV,Ryze,Mel,Nautilus,0.0,0.0,571753.0,68461.8,0.62,0.4,0
DrMundo,Kayn,AurelionSol,Jhin,Bard,MasterYi,Jax,Yasuo,MissFortune,Milio,0.0,0.0,154275.6,864522.4,0.5,0.48,0
Teemo,Talon,Heimerdinger,Veigar,Blitzcrank,Quinn,Twitch,Irelia,Caitlyn,Nautilus,0.0,0.0,132792.6,56027.2,0.38,0.48,1
Illaoi,Kayn,Yone,Ashe,Morgana,Trundle,Malphite,Leblanc,Kaisa,Brand,0.0,0.0,110477.2,18724.4,0.52,0.58,1
Illaoi,Volibear,Vex,Jinx,Lux,Singed,Malphite,Yone,Caitlyn,Thresh,0.0,0.0,353263.0,111443.6,0.36,0.42,0
Pantheon,Hecarim,Yasuo,MissFortune,Shaco,Ornn,Warwick,Veigar,Caitlyn,Neeko,0.0,0.0,33369.0,62635.4,0.52,0.5829,0
Malphite,MasterYi,Mel,Samira,Seraphine,Mordekaiser,Warwick,Leblanc,Aphelios,Lulu,0.0,0.0,324516.6,160331.8,0.46,0.54,1
Illaoi,Shyvana,Talon,MissFortune,Mel,Sion,Nunu,Galio,Twitch,Neeko,0.0,0.0,41304.2,14482.8,0.42,0.4,1
Shen,Viego,Akali,MissFortune,Leona,Briar,Ivern,Yasuo,Jinx,Lux,0.0,0.0,180601.4,86205.0,0.42,0.46,1
Nasus,Jax,Mel,Samira,Soraka,Fiora,Kayn,Vex,Ashe,Nautilus,0.0,0.0,29912.6,81970.4,0.4,0.6,1
Heimerdinger,Jax,Kassadin,MissFortune,Morgana,Singed,Briar,Irelia,Jhin,Mel,0.0,0.0,155726.8,165011.6,0.46,0.52,0
Nasus,Volibear,Akali,Corki,Sona,Fiora,Warwick,Fizz,Ashe,Seraphine,0.0,0.0,30813.2,57836.6,0.52,0.44,1
Garen,Kayn,KogMaw,Caitlyn,Thresh,TahmKench,Graves,Diana,Xayah,Morgana,0.0,0.0,62529.0,97967.2,0.58,0.56,1
Malzahar,Shen,Sylas,Samira,Neeko,Olaf,Volibear,Leblanc,Caitlyn,Janna,0.0,0.0,77989.4,94284.0,0.34,0.52,1
Yorick,Kayn,Seraphine,Caitlyn,Brand,Tryndamere,Warwick,Yasuo,Kalista,Thresh,0.0,0.0,93638.2,90264.0,0.44,0.52,1
Mordekaiser,Kayn,Garen,MissFortune,Yuumi,Teemo,MasterYi,Yasuo,Ashe,Lux,0.0,0.0,632033.2,277733.6,0.6,0.6,0
Mordekaiser,MasterYi,Lissandra,Jinx,Lux,Nasus,Khazix,Fizz,Ezreal,Pyke,0.0,0.0,406423.0,102900.6,0.48,0.58,1
Teemo,MasterYi,Vex,MissFortune,Mel,Heimerdinger,Kayn,Akali,Ashe,Lux,0.0,0.0,466582.0,62817.6,0.48,0.54,0
Garen,Briar,Ahri,Caitlyn,Pantheon,Chogath,LeeSin,Xerath,Xayah,Morgana,0.0,0.0,33262.8,133107.8,0.4,0.42,1
Yasuo,Trundle,Naafiri,Ashe,Brand,Teemo,Warwick,Lissandra,Kaisa,Thresh,0.0,0.0,129873.0,183482.0,0.42,0.4,1
Riven,Viego,Kassadin,Xayah,Soraka,Kayle,Talon,Leblanc,Smolder,Swain,0.0,0.0,122551.6,302081.4,0.5,0.38,0
Vayne,Jax,Malzahar,MissFortune,Rakan,Volibear,Garen,Veigar,Yunara,Seraphine,0.0,0.0,54713.8,142177.4,0.64,0.46,0
Sett,Volibear,Azir,KogMaw,Leona,Pantheon,Naafiri,Katarina,MissFortune,Lulu,0.0,0.0,262325.4,99316.8,0.42,0.56,1
Illaoi,Evelynn,Diana,MissFortune,Lux,Singed,Kayn,Ahri,Caitlyn,Velkoz,0.0,0.0,25990.4,105785.6,0.46,0.455,1
Sion,LeeSin,Malzahar,Yunara,Yuumi,Heimerdinger,Kayn,Lissandra,MissFortune,Seraphine,0.0,0.0,31947.8,889869.6,0.34,0.5,0
Lissandra,Viego,Veigar,Samira,Pyke,Kayle,Rengar,Yasuo,Ezreal,Shaco,0.0,0.0,111546.8,103497.0,0.48,0.66,0
Fiora,Ekko,Veigar,Vayne,Mel,Mordekaiser,Vi,Yasuo,Karthus,TahmKench,0.0,0.0,44002.4,79761.4,0.42,0.58,1
Heimerdinger,Trundle,Akali,Caitlyn,Morgana,Olaf,Kayn,Yasuo,Ashe,Chogath,0.0,0.0,262195.8,52075.0,0.38,0.44,1
Sett,Shyvana,Gragas,Jinx,Blitzcrank,Tryndamere,Viego,Mel,Twitch,Leona,0.0,0.0,36640.6,80855.0,0.34,0.42,0
Aatrox,Nocturne,Yasuo,MissFortune,Thresh,Zaahen,Jax,Sylas,Kaisa,Velkoz,0.0,0.0,301032.0,49529.6,0.46,0.56,1
Heimerdinger,Gwen,Mel,Jinx,Yuumi,Ornn,Shaco,Vex,Jhin,Lux,0.0,0.0,18142.2,11526.8,0.48,0.46,1
Volibear,LeeSin,Neeko,Tristana,Morgana,Vex,Vi,Yasuo,Ezreal,Nautilus,0.0,0.0,159781.8,129652.8,0.42,0.3571,0
Yone,Naafiri,Ekko,Nilah,Milio,Malphite,Hecarim,Yasuo,Jinx,Seraphine,0.0,0.0,87626.4,186336.8,0.52,0.52,1
Vayne,Kayn,Akali,MissFortune,Heimerdinger,Trundle,XinZhao,Lux,Ashe,Seraphine,0.0,0.0,30262.6,82705.6,0.32,0.48,0
Mordekaiser,MasterYi,Annie,Caitlyn,Seraphine,Garen,LeeSin,Fizz,Samira,Zyra,0.0,0.0,37901.2,21568.2,0.5,0.58,0
Renekton,Udyr,Mel,Ashe,Leona,Sett,Trundle,Ahri,MissFortune,Zilean,0.0,0.0,116906.0,55995.6,0.54,0.52,0
Olaf,Kindred,Irelia,MissFortune,Gwen,Trundle,MasterYi,Lux,Veigar,Mel,0.0,0.0,177079.2,170676.4,0.46,0.42,0
Nasus,Kayn,Yone,Caitlyn,Morgana,Sett,Volibear,Mel,Ashe,Lux,0.0,0.0,6622.8,175172.0,0.32,0.46,1
Zaahen,Briar,Veigar,Ashe,Neeko,Yone,MonkeyKing,Yasuo,MissFortune,Senna,0.0,0.0,21145.6,65296.8,0.42,0.56,0
Volibear,MasterYi,Vex,Smolder,Thresh,Jax,Skarner,MonkeyKing,Kaisa,Pyke,0.0,0.0,30599.0,22777.2,0.52,0.38,1
Yorick,Volibear,Yasuo,Aphelios,Yuumi,Darius,Karthus,Ahri,Ashe,Renata,0.0,0.0,142937.8,102385.2,0.4,0.64,1
Aatrox,Hecarim,Leblanc,Xayah,Morgana,Malphite,Viego,Yasuo,Caitlyn,Lux,0.0,0.0,25867.4,168542.6,0.24,0.32,0
Darius,MasterYi,Taliyah,Nilah,Lux,TahmKench,Rengar,Yasuo,Smolder,Thresh,0.0,0.0,147463.2,79889.8,0.38,0.5,0
Gnar,Volibear,Lux,Mel,Morgana,Mordekaiser,Zaahen,Yasuo,Twitch,Xerath,0.0,0.0,214431.6,168669.4,0.52,0.56,0
Renekton,Naafiri,Yone,MissFortune,Brand,Zaahen,Amumu,Zed,Caitlyn,Sona,0.0,0.0,52658.8,312300.0,0.6,0.5,0
Fiora,Nunu,Katarina,Twitch,Taliyah,Teemo,Warwick,Irelia,Xayah,Lux,0.0,0.0,58405.6,54256.0,0.54,0.38,0
Sett,Nocturne,Ryze,Kaisa,Nautilus,Heimerdinger,Volibear,Yone,MissFortune,Seraphine,0.0,0.0,74077.2,206856.4,0.46,0.3,0
Nasus,Shyvana,Yone,Jinx,TahmKench,Malphite,Warwick,Akali,Lux,Leona,0.0,0.0,84760.0,41994.4,0.44,0.36,1
Riven,Kayn,Yasuo,MissFortune,Morgana,Poppy,Teemo,Kennen,Nautilus,Seraphine,0.0,0.0,104459.4,429410.6,0.5,0.42,1
Teemo,Warwick,Zed,Samira,Morgana,Sion,Kayn,Lux,MissFortune,Leona,0.0,0.0,103109.6,354725.2,0.46,0.36,0
Renekton,Amumu,Veigar,Xayah,Pantheon,Kayle,LeeSin,Yone,Jhin,Lux,0.0,0.0,68842.2,36772.4,0.5,0.46,1
Teemo,Gwen,Yasuo,Lucian,Renata,Singed,Shen,Naafiri,Ezreal,Sona,0.0,0.0,97334.2,37752.0,0.54,0.5,0
Akali,DrMundo,Zed,MissFortune,Zilean,TahmKench,Skarner,Zoe,Aphelios,Lulu,0.0,0.0,52533.8,16977.8,0.54,0.44,0
Trundle,Hecarim,Akali,Sivir,Pyke,Volibear,Shaco,Veigar,Caitlyn,Thresh,0.0,0.0,73302.4,67922.4,0.42,0.32,1
Quinn,MasterYi,Veigar,Twitch,Leona,Volibear,Kayn,Ekko,Jhin,Zilean,0.0,0.0,158062.2,676818.4,0.48,0.6,1
Illaoi,Kayn,Akali,Ashe,Mel,Sylas,Shyvana,Morgana,Sivir,Lulu,0.0,0.0,26159.2,5902.2,0.54,0.5,1
Irelia,MasterYi,Yasuo,MissFortune,Leona,Velkoz,Diana,Zed,Lux,Nautilus,0.0,0.0,73388.4,445777.8,0.48,0.38,1
Renekton,MasterYi,Morgana,Samira,Pyke,Mordekaiser,Evelynn,Lissandra,Kaisa,Nami,0.0,0.0,76890.8,143073.2,0.4,0.5,1
Jax,Zed,Graves,Vayne,Nautilus,Kayle,FiddleSticks,Fizz,Nilah,Velkoz,0.0,0.0,112004.2,713436.2,0.48,0.46,0
Vayne,Jax,Hwei,Caitlyn,Nautilus,Sett,MasterYi,Cassiopeia,MissFortune,Malphite,0.0,0.0,172169.8,144020.8,0.5,0.5,0
Sion,Kayn,Yone,MissFortune,Taliyah,Zaahen,Nocturne,Yasuo,Jhin,Mel,0.0,0.0,78486.0,89706.6,0.5,0.4,0
Sett,Shyvana,Malzahar,Yone,Mel,Garen,Kayn,Veigar,Aphelios,MissFortune,0.0,0.0,23694.2,73392.4,0.56,0.5,0
Garen,Shaco,Briar,Caitlyn,Morgana,Vayne,MasterYi,Yone,KogMaw,Yuumi,0.0,0.0,92419.0,61872.2,0.4867,0.44,1
Kindred,Naafiri,Veigar,Ashe,Zilean,Mordekaiser,Warwick,Swain,Mel,Zyra,0.0,0.0,111575.8,154495.4,0.46,0.48,0
Vayne,Nunu,Mel,Jinx,Leona,Garen,Nocturne,Malzahar,Lucian,Thresh,0.0,0.0,26075.0,173426.2,0.4533,0.58,0
Ambessa,Briar,Sylas,Yunara,Pyke,Yone,Sejuani,AurelionSol,Caitlyn,Morgana,0.0,0.0,34369.6,347254.2,0.5,0.48,1
Illaoi,Ambessa,Vex,MissFortune,Seraphine,Teemo,Nunu,Syndra,Caitlyn,Leona,0.0,0.0,1028020.8,32042.6,0.46,0.44,1
Kassadin,Amumu,Fizz,MissFortune,Morgana,Sett,Shaco,Annie,Caitlyn,Nautilus,0.0,0.0,132118.4,234443.0,0.4,0.58,1
Mordekaiser,Kayn,Viktor,Senna,Nautilus,Irelia,MasterYi,Vex,Jhin,Maokai,0.0,0.0,31323.4,109785.8,0.46,0.48,0
MonkeyKing,Khazix,Leblanc,Smolder,Soraka,Rammus,Shaco,Talon,Samira,Nautilus,0.0,0.0,176711.4,76512.6,0.32,0.48,1
Zaahen,Amumu,Ahri,Ziggs,Pantheon,Garen,MasterYi,Xerath,Jhin,Thresh,0.0,0.0,193199.0,64415.4,0.48,0.46,1
Kayle,Zed,Sylas,Kaisa,Thresh,Ashe,Viego,Ahri,Mel,Jinx,0.0,0.0,298365.6,799642.6,0.4,0.42,1
Fiora,Briar,Diana,Ashe,Velkoz,Tryndamere,Shaco,Yone,MissFortune,Morgana,0.0,0.0,440684.4,146625.4,0.52,0.44,1
Illaoi,Volibear,Mel,Nilah,Milio,TahmKench,Shyvana,Ryze,MissFortune,Swain,0.0,0.0,16622.2,162288.2,0.52,0.46,0
Yone,Shyvana,Katarina,Corki,Morgana,Warwick,Amumu,Kennen,Samira,Rakan,0.0,0.0,313030.8,98124.8,0.56,0.5,0
Garen,Viego,Yone,Yunara,Lux,Yorick,Kayn,Xerath,Jhin,Pantheon,0.0,0.0,90209.0,86021.2,0.44,0.44,0
TahmKench,Tryndamere,Anivia,Varus,Mel,Teemo,Jax,Veigar,Caitlyn,Leona,0.0,0.0,64023.2,136675.6,0.5,0.46,0
Sett,Nasus,Yasuo,Xayah,Rakan,Jax,Nocturne,Ahri,Ashe,Morgana,0.0,0.0,95097.8,47009.0,0.5,0.34,0
Sett,Naafiri,Syndra,KogMaw,Lulu,Cassiopeia,Kindred,Akali,MissFortune,TahmKench,0.0,0.0,177530.4,116873.0,0.5,0.42,1
Olaf,Zed,Yasuo,Jinx,Blitzcrank,Mordekaiser,Malphite,Qiyana,Draven,FiddleSticks,0.0,0.0,79274.8,47047.0,0.36,0.56,1
Yasuo,Diana,Yone,Caitlyn,Galio,Quinn,Volibear,Zed,MissFortune,Brand,0.0,0.0,104880.4,181061.6,0.5,0.48,0
Akali,Aatrox,Ekko,Vayne,Braum,Zaahen,Rengar,Vex,Kaisa,Yuumi,0.0,0.0,369850.8,130262.4,0.68,0.4,1
Sylas,Graves,Ekko,Caitlyn,Neeko,Malphite,XinZhao,Aurora,Jax,Blitzcrank,0.0,0.0,81585.2,573066.2,0.52,0.52,0
Chogath,Ekko,Zed,Yunara,Alistar,DrMundo,Warwick,Akshan,MissFortune,Yuumi,0.0,0.0,930474.2,210393.0,0.32,0.4,1
Yorick,Naafiri,Yone,Varus,Nautilus,Tryndamere,XinZhao,Kassadin,Jhin,Mel,0.0,0.0,30681.8,29270.2,0.54,0.42,0
Malphite,LeeSin,Veigar,Vayne,Pyke,FiddleSticks,DrMundo,Yasuo,MissFortune,Teemo,0.0,0.0,257414.2,96036.4,0.58,0.34,0
Tryndamere,Warwick,Zed,Tristana,TahmKench,Ornn,XinZhao,Ahri,Mel,Lulu,0.0,0.0,65548.0,206139.6,0.36,0.52,0
Darius,Talon,Akali,Nilah,Brand,Varus,JarvanIV,Galio,Ashe,Thresh,0.0,0.0,94421.4,23161.0,0.44,0.56,1
Darius,MasterYi,Zed,Ashe,Velkoz,Urgot,LeeSin,Fizz,MissFortune,TahmKench,0.0,0.0,153573.0,222169.4,0.52,0.44,0
KSante,Kayn,Lux,Jinx,Seraphine,Gangplank,Viego,Veigar,Caitlyn,Soraka,0.0,0.0,110607.2,49505.6,0.36,0.58,1
Malphite,Khazix,Ahri,Jinx,Ornn,Quinn,Talon,Akshan,Ashe,Seraphine,0.0,0.0,53023.8,257019.0,0.52,0.5,0
Riven,Briar,Mel,Jinx,Morgana,Mordekaiser,Amumu,Irelia,Kaisa,Seraphine,0.0,0.0,163411.6,170223.2,0.5,0.42,0
Irelia,MasterYi,Yasuo,Ziggs,Thresh,Nasus,Nocturne,Quinn,Jinx,Rell,0.0,0.0,58953.2,88261.4,0.4,0.38,1
Sett,Pantheon,Taliyah,MissFortune,Amumu,Darius,Khazix,Irelia,Jinx,Lux,0.0,0.0,101023.0,91915.2,0.46,0.34,0
Jax,Zyra,Katarina,MissFortune,Thresh,Kayle,Kayn,Yasuo,Vayne,Lux,0.0,0.0,61875.0,36918.0,0.4,0.48,1
Mordekaiser,Warwick,Diana,MissFortune,Yuumi,Aatrox,MasterYi,Ahri,Varus,Thresh,0.0,0.0,309342.4,48094.8,0.62,0.64,1
Teemo,Chogath,Xerath,Jhin,Pyke,Volibear,Briar,Fizz,Tristana,Swain,0.0,0.0,31558.8,70146.4,0.4,0.5778,0
Zaahen,Viego,Mel,Jinx,Blitzcrank,Gangplank,Warwick,Malzahar,Caitlyn,Brand,0.0,0.0,17328.6,427139.6,0.4,0.5,1
Jinx,Kayn,Vex,Jhin,Sylas,Yasuo,Shyvana,Vayne,MissFortune,Nami,0.0,0.0,233485.0,60724.4,0.46,0.42,0
Quinn,Khazix,Sylas,Kaisa,Morgana,Malphite,Volibear,Yone,Varus,Xerath,0.0,0.0,69675.2,65170.2,0.38,0.46,1
Jax,Malphite,Lissandra,Caitlyn,Blitzcrank,Chogath,Amumu,Katarina,MissFortune,Pyke,0.0,0.0,196803.4,17156.2,0.54,0.46,0
Gnar,Naafiri,Taliyah,Caitlyn,Lux,Tryndamere,Nidalee,Ryze,MissFortune,Mel,0.0,0.0,69385.6,156212.8,0.4,0.38,1
Teemo,Rammus,Xayah,Yuumi,Yone,Aatrox,Viego,Anivia,MissFortune,Nautilus,0.0,0.0,44727.0,251886.4,0.42,0.48,0
Yone,Viego,Zyra,Twitch,TahmKench,Darius,Morgana,Ahri,Kalista,Mel,0.0,0.0,129557.4,300267.4,0.62,0.54,0
Darius,Shen,Ahri,Tristana,Yuumi,Kayle,Shyvana,Mel,Caitlyn,TahmKench,0.0,0.0,152268.0,78784.8,0.44,0.62,0
Malphite,XinZhao,Syndra,Smolder,Nami,Gwen,Amumu,Orianna,MissFortune,Swain,0.0,0.0,70616.8,39082.4,0.42,0.46,0
Darius,Evelynn,Zed,Draven,Senna,Kennen,Kindred,Malzahar,Ezreal,Shaco,0.0,0.0,277955.6,17517.2,0.54,0.48,1
Teemo,Diana,Naafiri,Twitch,Swain,Sion,Shaco,Mel,Veigar,Pyke,0.0,0.0,102030.8,72773.0,0.52,0.38,0
Garen,Kayn,Zed,MissFortune,Leona,Kayle,Ekko,Lux,Sivir,Zyra,0.0,0.0,124287.2,91039.6,0.48,0.48,1
Anivia,MasterYi,Orianna,Kaisa,Zyra,Yone,Zac,Brand,MissFortune,Swain,0.0,0.0,41694.0,189598.8,0.48,0.58,0
Mordekaiser,Jax,Veigar,Samira,Nami,Yasuo,MasterYi,Vex,Ashe,Seraphine,0.0,0.0,76899.2,82398.4,0.38,0.52,1
Irelia,Evelynn,Yone,Caitlyn,Malphite,Illaoi,Hecarim,Katarina,Yunara,Seraphine,0.0,0.0,70182.2,43550.8,0.4,0.48,0
Cassiopeia,MasterYi,Malzahar,Talon,Senna,Darius,Warwick,Akali,Twitch,Brand,0.0,0.0,156620.2,37623.6,0.44,0.4743,0
Jax,Viego,Yasuo,Jhin,Lux,Malphite,Nunu,Diana,Varus,Morgana,0.0,0.0,101490.2,54288.2,0.5,0.48,0
Vayne,Nocturne,Xerath,MissFortune,Karma,Malphite,Evelynn,Zoe,Kaisa,Lux,0.0,0.0,83119.0,179664.2,0.58,0.54,0
Garen,JarvanIV,Ryze,Jinx,AurelionSol,Kayle,Shyvana,Yasuo,Vayne,Lux,0.0,0.0,463209.4,131980.6,0.4,0.54,0
Sett,Tryndamere,Ahri,Ziggs,Zyra,Illaoi,Malphite,Ekko,Caitlyn,Morgana,0.0,0.0,371175.0,75755.6,0.34,0.52,1
Chogath,MasterYi,Brand,Jhin,Velkoz,Yasuo,FiddleSticks,Veigar,Smolder,Soraka,0.0,0.0,124830.6,68429.2,0.52,0.46,1
Yone,Briar,Naafiri,Twitch,Soraka,Nasus,LeeSin,Sylas,Ezreal,Xerath,0.0,0.0,665576.8,88728.8,0.48,0.48,1
Chogath,Viego,Morgana,Mel,Senna,Yorick,Malphite,MonkeyKing,Tristana,Brand,0.0,0.0,80129.6,276595.0,0.56,0.6,1
Garen,Warwick,Zed,Yunara,Morgana,Yorick,LeeSin,Irelia,Caitlyn,Veigar,0.0,0.0,97356.6,178140.6,0.5,0.32,1
Urgot,Amumu,Mel,Jinx,Karma,Malphite,Kayn,Yone,Caitlyn,Morgana,0.0,0.0,148356.8,112181.2,0.46,0.58,1
Vayne,MasterYi,Akali,Yunara,Pyke,Irelia,Viego,Malzahar,MissFortune,Mel,0.0,0.0,122140.8,92993.6,0.44,0.46,0
Yasuo,Diana,Syndra,Twitch,Xerath,Volibear,Belveth,Chogath,Lucian,Zyra,0.0,0.0,70884.8,60181.0,0.64,0.68,0
Jax,Amumu,Ashe,Caitlyn,Sona,Shen,MonkeyKing,Fizz,Twitch,Lux,0.0,0.0,122094.4,89647.2,0.56,0.32,1
Jax,Evelynn,Irelia,Caitlyn,Brand,Akali,Volibear,Lissandra,Tristana,Malphite,0.0,0.0,64227.6,63191.2,0.44,0.5,0
Singed,Rammus,Chogath,Samira,Sylas,Vayne,Vi,Fizz,MissFortune,Veigar,0.0,0.0,42969.0,144311.2,0.5,0.58,0
Sett,Volibear,Zed,Aphelios,Lux,Kayle,Kayn,Fizz,Ashe,Blitzcrank,0.0,0.0,95105.0,141443.0,0.3,0.38,0
Nasus,Trundle,Teemo,MissFortune,TahmKench,Darius,Amumu,Lissandra,Caitlyn,Blitzcrank,0.0,0.0,59525.8,75896.0,0.42,0.48,0
Gwen,Viego,Vex,Caitlyn,Neeko,Malphite,Kayn,Diana,Jinx,Velkoz,0.0,0.0,138054.0,216422.6,0.54,0.48,1
Teemo,Nocturne,Fizz,Tristana,Lux,Irelia,Shyvana,Zed,Corki,Seraphine,0.0,0.0,75033.8,53278.4,0.52,0.4133,1
Kayle,Shyvana,Akali,Smolder,Brand,Irelia,Shen,Vex,Xayah,Rakan,0.0,0.0,213966.4,63164.8,0.52,0.48,0
Gwen,Amumu,Yone,MissFortune,Nami,Teemo,Jax,Galio,Ashe,Morgana,0.0,0.0,209634.4,471990.6,0.58,0.44,0
Darius,Diana,Irelia,Veigar,Sona,Malphite,Nocturne,Katarina,Jinx,Lux,0.0,0.0,82659.4,101175.0,0.42,0.48,1
Yone,Volibear,Naafiri,Smolder,Thresh,DrMundo,Khazix,Leblanc,MissFortune,Lissandra,0.0,0.0,78774.8,54557.2,0.48,0.44,0
Mordekaiser,MonkeyKing,Yone,Samira,Rakan,KSante,Khazix,Naafiri,Tristana,Nami,0.0,0.0,215335.6,45753.8,0.48,0.44,0
Fiora,JarvanIV,Sylas,Ashe,Senna,Illaoi,Briar,Fizz,Xerath,Mel,0.0,0.0,120693.8,64375.6,0.52,0.4,0
Mordekaiser,Warwick,Mel,Ashe,Senna,Naafiri,Nocturne,AurelionSol,Caitlyn,Brand,0.0,0.0,86533.6,262087.0,0.48,0.4,0
Volibear,Pantheon,Ahri,Jhin,Blitzcrank,Renekton,Kayn,Veigar,Vayne,Nautilus,0.0,0.0,35935.0,158839.8,0.4,0.62,1
Yorick,Kayn,Naafiri,Mel,Seraphine,Warwick,Trundle,Ziggs,Kaisa,MissFortune,0.0,0.0,172633.6,89954.2,0.44,0.48,0
Neeko,Shyvana,Akali,Sivir,Thresh,Teemo,Nocturne,Yasuo,MissFortune,Soraka,0.0,0.0,49967.0,339446.8,0.5,0.52,0
Malphite,Shyvana,Mel,Twitch,Swain,Mordekaiser,Hecarim,Veigar,Kaisa,Nautilus,0.0,0.0,52578.8,75665.4,0.4,0.38,0
Rumble,Amumu,Fizz,Samira,Mel,Volibear,Diana,Karma,Smolder,Belveth,0.0,0.0,129852.8,1686211.2,0.56,0.44,0
FiddleSticks,Viego,Yone,Caitlyn,Senna,TahmKench,Jax,Mel,Morgana,Zyra,0.0,0.0,41710.2,485023.6,0.38,0.3,0
Yone,LeeSin,Mel,Jhin,Brand,Trundle,MasterYi,Naafiri,Lucian,Morgana,0.0,0.0,38291.0,39053.8,0.52,0.44,0
TahmKench,Viego,Akali,Kaisa,Nautilus,Kayle,Kayn,Hwei,Aphelios,Pantheon,0.0,0.0,53819.8,233670.4,0.44,0.46,0
Heimerdinger,Kayn,Katarina,Jhin,Lux,Malphite,Nocturne,Vladimir,MissFortune,Blitzcrank,0.0,0.0,97167.0,167358.4,0.4,0.58,1
Garen,Warwick,KogMaw,Caitlyn,Morgana,Sion,Jax,Diana,Jinx,Nautilus,0.0,0.0,280771.8,130684.8,0.56,0.62,1
Urgot,MasterYi,Lux,Caitlyn,Blitzcrank,Vayne,XinZhao,Ahri,Yasuo,Malphite,0.0,0.0,54380.2,165513.6,0.64,0.5,1
Darius,Ekko,Malzahar,Jinx,Neeko,Renekton,Rengar,Xerath,Jax,Blitzcrank,0.0,0.0,148053.8,351022.2,0.4,0.66,1
Chogath,DrMundo,Anivia,KogMaw,Lulu,Teemo,Shyvana,Brand,MissFortune,Lux,0.0,0.0,39722.6,38845.2,0.38,0.38,0
Sett,Naafiri,Yone,Caitlyn,Brand,Mordekaiser,Warwick,Ziggs,Jinx,Braum,0.0,0.0,55489.0,104259.0,0.44,0.62,1
Teemo,Shen,Chogath,Tristana,Morgana,Renekton,Viego,Yone,Caitlyn,Xerath,0.0,0.0,56216.8,24729.2,0.66,0.56,1
Mordekaiser,FiddleSticks,Yasuo,Varus,Karma,Singed,Graves,Renekton,Ahri,Senna,0.0,0.0,10818.6,24557.4,0.465,0.62,0
Yasuo,Shyvana,Diana,Jinx,Leona,Zaahen,MasterYi,Akali,MissFortune,Alistar,0.0,0.0,73149.8,362594.8,0.46,0.34,0
Garen,MasterYi,Yasuo,MissFortune,Nautilus,RekSai,Kayn,Katarina,Draven,Swain,0.0,0.0,188984.6,160206.8,0.56,0.58,0
